Car Name,Car Price,Car Mileage,Exterior Color,Interior Color,Drivetrain,Fuel Type,Transmission,Engine,VIN,TimeStamp,Source
2022 Ford Explorer ST,"$56,478","5,338 mi.",Agate Black Metallic,Ebony,Four-wheel Drive,Gasoline,10-Speed Automatic,3.0L V6 24V GDI DOHC Twin Turbo,1FM5K8GC9NGB48494,2023-04-30 11:54:41.527268,Cars.com
2023 Jeep Wagoneer Series II,"$75,610",0 mi.,Silver Zynith,Global Black,Four-wheel Drive,Gasoline,Automatic,3.0L I6 24V GDI DOHC Twin Turbo,1C4SJVBP8PS508874,2023-04-30 11:54:44.909089,Cars.com
2018 Chrysler 300 C,"$30,000","34,237 mi.",Gloss Black,Black,Rear-wheel Drive,Gasoline,Automatic,Regular Unleaded V-8 5.7 L/345,2C3CCAPTXJH274818,2023-04-30 11:54:48.972448,Cars.com
2023 Alfa Romeo Stelvio Ti,"$53,163","2,760 mi.",Vulcano Black Metallic,Black,All-wheel Drive,Gasoline,8-Speed Automatic,2.0L I4 16V GDI SOHC Turbo,ZASPAKBN9P7D58609,2023-04-30 11:54:52.559278,Cars.com
2021 Volkswagen Arteon 2.0T SE,"$29,367","19,100 mi.",Pure White,Titan Black,Front-wheel Drive,Gasoline,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,WVWAR7AN3ME008700,2023-04-30 11:54:55.077052,Cars.com
2023 Toyota RAV4 Hybrid Woodland Edition,"$35,574",5 mi.,White,Black,All-wheel Drive,Hybrid,Automatic CVT,2.5L I4 16V PDI DOHC Hybrid,2T3UWRFV0PW165463,2023-04-30 11:54:58.401927,Cars.com
2023 Toyota RAV4 Hybrid Limited,"$44,594",–,Ruby Flare Pearl,Black,AWD,Hybrid,Automatic CVT,2.5L I4 16V PDI DOHC Hybrid,JTMD6RFV2PD095526,2023-04-30 11:55:01.796136,Cars.com
2017 Lexus GS 350 Base,"$32,000","57,538 mi.",Black,Black,Rear-wheel Drive,Gasoline,8-Speed Automatic,3.5L V6 24V PDI DOHC,JTHBZ1BL1HA010794,2023-04-30 11:55:04.597228,Cars.com
2023 Toyota RAV4 Hybrid XLE,"$36,809",5 mi.,Magnetic Gray Metallic,Black,All-wheel Drive,Hybrid,Automatic CVT,2.5L I4 16V PDI DOHC Hybrid,JTMRWRFV5PD177174,2023-04-30 11:55:06.950393,Cars.com
2023 Ford F-150 XLT,"$61,790",–,Oxford White,Black,Four-wheel Drive,Gasoline,Automatic,3.5L V6 24V PDI DOHC Twin Turbo,1FTFW1E83PFB18810,2023-04-30 11:55:10.483041,Cars.com
2023 GMC Yukon Denali,"$81,315",1 mi.,Summit White,Teak,Rear-wheel Drive,Diesel,Automatic,3.0L I6 24V DDI DOHC Turbo Diesel,1GKS1DKT7PR359974,2023-04-30 11:55:12.759484,Cars.com
2023 Dodge Challenger SXT,"$33,549",11 mi.,Pitch Black Clearcoat,Black,All-wheel Drive,Gasoline,8-Speed Automatic,3.6L V6 24V MPFI DOHC,2C3CDZGG0PH554335,2023-04-30 11:55:19.454904,Cars.com
2022 GMC Yukon XL Denali,"$82,000","35,572 mi.",Hunter Metallic,Dark Walnut,Four-wheel Drive,Gasoline,10-Speed Automatic,6.2L V8 16V GDI OHV,1GKS2JKL3NR251926,2023-04-30 11:55:21.944608,Cars.com
2023 GMC Savana 3500 Work Van,"$43,328",3 mi.,Cardinal Red,Medium Pewter,Rear-wheel Drive,Gasoline,Automatic,Gas V6 4.3L/,1GTZ7GFP2P1155590,2023-04-30 11:55:24.699005,Cars.com
2016 BMW 435 Gran Coupe i,"$29,900","55,408 mi.",Charcoal,Tan,Rear-wheel Drive,Gasoline,Automatic,"3L I-6 gasoline direct injection, DOHC, variable valve control,",WBA4B1C55GG242080,2023-04-30 11:55:28.000635,Cars.com
2023 Hyundai Sonata Hybrid Base,"$27,987","12,885 mi.",Serenity White,Dark Gray,Front-wheel Drive,Gasoline,Automatic,"Smartstream 2L I-4 gasoline direct injection, DOHC, D-CVVT varia",KMHL24JJ6PA054327,2023-04-30 11:55:31.811771,Cars.com
2013 Audi S5 3.0T Premium Plus quattro,"$26,950","54,444 mi.",Glacier White Metallic,Black,All-wheel Drive,Gasoline,7-Speed Automatic with Auto-Shift,3.0L V6 24V GDI DOHC Supercharged,WAUCGAFH0DN003921,2023-04-30 11:55:34.306798,Cars.com
2022 Ford Mustang Mach-E Select,"$45,770",118 mi.,Gray Metallic,Black Onyx,Rear-wheel Drive,Electric,1-Speed Automatic,Electric,3FMTK1RM2NMA42740,2023-04-30 11:55:38.200758,Cars.com
2019 INFINITI QX60 Luxe,"$33,990","28,851 mi.",Majestic White,Wheat,All-wheel Drive,Gasoline,Automatic CVT,3.5L V6 24V GDI DOHC,5N1DL0MM8KC548668,2023-04-30 11:55:42.015721,Cars.com
2018 Audi Q5 2.0T Prestige,"$30,859","60,230 mi.",Florett Silver Metallic,Rock Gray / Black,All-wheel Drive,Gasoline,7-Speed Automatic with Auto-Shift,2.0L I4 16V GDI DOHC Turbo,WA1CNAFY8J2214123,2023-04-30 11:55:44.923144,Cars.com
2023 Volvo S60 B5 Plus Dark Theme,"$52,690",5 mi.,Thunder Gray,Charcoal,All-wheel Drive,Gasoline,Automatic,2.0L I4 16V GDI DOHC Turbo,7JRL12TW7PG250067,2023-04-30 11:55:47.800364,Cars.com
2023 Chevrolet Blazer RS,"$48,640",5 mi.,Black,Jet Black,All-wheel Drive,Gasoline,Automatic,Gas V6 3.6L/,3GNKBKRS9PS182309,2023-04-30 11:55:51.923359,Cars.com
2023 Cadillac XT5 FWD Premium Luxury,"$57,665",5 mi.,Crystal White Tricoat,Jet Black,Front-wheel Drive,Gasoline,Automatic,Gas V6 3.6L/222,1GYKNCRS5PZ209587,2023-04-30 11:55:55.538362,Cars.com
2006 Chrysler 300C Base,"$13,000","74,000 mi.",Black,Beige,Rear-wheel Drive,Gasoline,Transmission w/Dual Shift Mode,340.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,2C3LA63H46H452928,2023-04-30 11:55:57.269319,Cars.com
2023 Toyota RAV4 Hybrid SE,"$36,419",–,Magnetic Gray Metallic,Black,AWD,Hybrid,Automatic CVT,2.5L I4 16V PDI DOHC Hybrid,4T3T6RFV6PU19H785,2023-04-30 11:56:00.775308,Cars.com
2018 BMW X5 xDrive35i,"$30,955","72,340 mi.",Space Gray Metallic,Black,All-wheel Drive,Gasoline,8-Speed Automatic,3.0L I6 24V GDI DOHC Turbo,5UXKR0C5XJ0X98397,2023-04-30 11:56:04.355351,Cars.com
2023 Toyota Tacoma TRD Pro,"$52,443",5 mi.,White,Black / Red,Four-wheel Drive,Gasoline,Automatic,3.5L V6 24V PDI DOHC,3TYCZ5AN5PT139319,2023-04-30 11:56:07.539196,Cars.com
2016 Chevrolet Camaro 2LT,"$18,995","105,226 mi.",Red,Jet Black,Rear-wheel Drive,Gasoline,8-Speed Automatic,3.6L V6 24V GDI DOHC,1G1FD1RS7G0151459,2023-04-30 11:56:11.073361,Cars.com
2015 GMC Sierra 2500 SLE,"$30,995","81,994 mi.",Iridium Metallic,Jet Black,Four-wheel Drive,E85 Flex Fuel,6-Speed Automatic,6.0L V8 16V MPFI OHV Flexible Fuel,1GT12YEG0FF599345,2023-04-30 11:56:13.172993,Cars.com
2020 Ford F-250 Lariat,"$56,995","71,497 mi.",Star White,Medium Light Camel,Four-wheel Drive,Diesel,10-Speed Automatic,6.7L V8 32V DDI OHV Turbo Diesel,1FT7W2BT5LEC47831,2023-04-30 11:56:16.619050,Cars.com
2023 Chevrolet Silverado 1500 High Country,"$71,270",2 mi.,Iridescent Pearl Tricoat,Jet Black,Four-wheel Drive,Diesel,Automatic,3.0L I6 24V DDI DOHC Turbo Diesel,3GCUDJE89PG258887,2023-04-30 11:56:20.554724,Cars.com
2023 Nissan Armada Platinum 4WD,"$71,710",0 mi.,Aspen White Tricoat,Black,Four-wheel Drive,Gasoline,7-Speed Automatic,"Endurance 5.6L V-8 gasoline direct injection, DOHC, variable val",JN8AY2DB7P9832031,2023-04-30 11:56:30.000616,Cars.com
2023 Nissan Titan SV,"$59,060",7 mi.,Gun Metallic,Black,Four-wheel Drive,Gasoline,Automatic,5.6L V8 32V GDI DOHC,1N6AA1ED3PN109341,2023-04-30 11:56:33.014808,Cars.com
2023 Lincoln Navigator Reserve,"$105,365",5 mi.,White Tri-Coat,Sandstone,Four-wheel Drive,Gasoline,Automatic,3.5L V6 24V PDI DOHC Twin Turbo,5LMJJ2LG2PEL07486,2023-04-30 11:56:35.566167,Cars.com
2022 Nissan Rogue SL,"$34,995","7,153 mi.",White,Charcoal,Front-wheel Drive,Gasoline,Automatic CVT,1.5L I3 12V GDI DOHC Turbo,5N1BT3CA7NC726963,2023-04-30 11:56:39.402023,Cars.com
2022 Ford Expedition Max Limited,"$69,500","16,368 mi.",Oxford White,Mahogany,Four-wheel Drive,Gasoline,Automatic,3.5L V6 24V PDI DOHC Twin Turbo,1FMJK2AT7NEA29245,2023-04-30 11:56:42.303282,Cars.com
2021 Nissan Rogue SV,"$24,295","50,514 mi.",Super Black,Charcoal,All-wheel Drive,Gasoline,Automatic CVT,2.5L I4 16V GDI DOHC,5N1AT3BB1MC736960,2023-04-30 11:56:45.147529,Cars.com
2015 GMC Sierra 1500 SLE,"$25,999","105,715 mi.",Summit White,Jet Black/Dark Ash,Four-wheel Drive,Gasoline,Automatic,"EcoTec3 4.3L V-6 gasoline direct injection, variable valve contr",3GTU2UEC3FG426095,2023-04-30 11:56:48.619816,Cars.com
2023 BMW M850 i xDrive,"$117,240",14 mi.,Mineral White Metallic,Tartufo,All-wheel Drive,Gasoline,8-Speed Automatic,4.4L V8 32V GDI DOHC Twin Turbo,WBAFY4C0XPCM99675,2023-04-30 11:56:52.704366,Cars.com
2022 Volkswagen Atlas 2.0T SE,"$42,289","7,240 mi.",Platinum Gray Metallic,Titan Black,All-wheel Drive,Gasoline,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,1V2KP2CA4NC546941,2023-04-30 11:56:54.759616,Cars.com
2017 GMC Yukon Denali,"$32,415","113,739 mi.",Onyx Black,Cocoa,Four-wheel Drive,Gasoline,8-Speed Automatic,6.2L V8 16V GDI OHV,1GKS2CKJ2HR353202,2023-04-30 11:56:57.882909,Cars.com
2021 GMC Yukon SLT,"$63,000","30,158 mi.",Midnight Blue Metallic,Dark Walnut,Four-wheel Drive,Gasoline,10-Speed Automatic,5.3L V8 16V GDI OHV,1GKS2BKD9MR375910,2023-04-30 11:57:00.027080,Cars.com
2017 Mazda Mazda3 Sport,"$10,995","147,401 mi.",Jet Black Mica,Black,Front-wheel Drive,Gasoline,6-Speed Automatic,2.0L I4 16V GDI DOHC,3MZBN1U72HM136658,2023-04-30 11:57:02.906931,Cars.com
2023 Buick Encore GX Select,"$26,690",–,Summit White / White,Whisper Beige,Front-wheel Drive,Gasoline,–,1.2L I3 12V GDI DOHC Turbo,KL4MMDS22PB141818,2023-04-30 11:57:06.164069,Cars.com
2022 Ford F-150 RIDGE,"$79,999",62 mi.,Atlas Blue Metallic,Black,Four-wheel Drive,Gasoline,10-Speed Automatic,5.0L V8 32V PDI DOHC,1FTFW1E55NFA80936,2023-04-30 11:57:09.395937,Cars.com
2022 Volkswagen Atlas 2.0T SE,"$33,777","24,995 mi.",Platinum Gray Metallic,Titan Black,All-wheel Drive,Gasoline,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,1V2LP2CA3NC526541,2023-04-30 11:57:12.423231,Cars.com
2023 Toyota Corolla Hybrid LE,"$26,122",5 mi.,White,Black,Front-wheel Drive,Hybrid,Automatic CVT,1.8L I4 16V MPFI DOHC Hybrid,JTDBCMFE2P3017045,2023-04-30 11:57:14.989869,Cars.com
2019 Kia Sportage EX,"$21,497","53,178 mi.",Pacific Blue,Gray,Front-wheel Drive,Gasoline,6-Speed Automatic,2.4L I4 16V GDI DOHC,KNDPN3AC6K7544684,2023-04-30 11:57:18.598503,Cars.com
2023 Honda CR-V Hybrid Sport,"$35,650",–,Radiant Red Metallic,Black,All-wheel Drive,Hybrid,Automatic CVT,2.0L I4 16V GDI DOHC Hybrid,7FARS6H50PE032970,2023-04-30 11:57:22.414900,Cars.com
2023 Ford Mustang Mach-E GT,"$65,035",7 mi.,Shadow Black,Black Onyx,All-wheel Drive,Electric,SINGLE SPEED,Electric,3FMTK4SE3PMA12508,2023-04-30 11:57:25.970359,Cars.com
2021 Ford Bronco Sport Big Bend,"$34,412","23,088 mi.",Carbonized Gray Metallic,Ebony,Four-wheel Drive,Gasoline,8-Speed Automatic,1.5L I3 12V PDI DOHC Turbo,3FMCR9B61MRA42428,2023-04-30 11:57:29.123603,Cars.com
2020 GMC Canyon SLE,"$32,500","36,113 mi.",Dark Sky Metallic,Jet Black,Four-wheel Drive,Gasoline,Automatic,3.6L V6 24V GDI DOHC,1GTG6CEN8L1120274,2023-04-30 11:57:37.371061,Cars.com
2021 Mitsubishi Outlander Sport 2.0 ES,"$22,000","43,900 mi.",Mercury Gray Metallic,Gray,Front-wheel Drive,Gasoline,Automatic CVT,2.0L I4 16V MPFI DOHC,JA4APUAU9MU028767,2023-04-30 11:57:39.972621,Cars.com
2023 Nissan Armada SV 4WD,"$60,650",0 mi.,Aspen White Tricoat,Charcoal,Four-wheel Drive,Gasoline,7-Speed Automatic,"Endurance 5.6L V-8 gasoline direct injection, DOHC, variable val",JN8AY2AD6P9690664,2023-04-30 11:57:42.942469,Cars.com
2021 Kia Telluride LX,"$35,999","62,728 mi.",Everlasting Silver,Black,Front-wheel Drive,Gasoline,8-Speed Automatic,3.8L V6 24V GDI DOHC,5XYP24HC0MG135378,2023-04-30 11:57:45.319797,Cars.com
2018 Toyota Camry XSE,"$23,390","108,958 mi.",Black,Black,Front-wheel Drive,Gasoline,Automatic,Regular Unleaded I-4 2.5 L/152,4T1B61HK3JU024849,2023-04-30 11:57:48.175525,Cars.com
2023 Mazda CX-50 2.5 S Preferred Plus Package,"$34,570",5 mi.,Polymetal Gray Metallic,Black,All-wheel Drive,Gasoline,Automatic,2.5L I4 16V GDI DOHC,7MMVABCM6PN140922,2023-04-30 11:57:52.613250,Cars.com
2023 Kia Sportage EX,"$29,905",12 mi.,Ebony Black,Black,Front-wheel Drive,Gasoline,Automatic,2.5L I4 16V PDI DOHC,5XYK33AF1PG119216,2023-04-30 11:57:54.769396,Cars.com
2020 Hyundai Sonata SEL,"$23,300","45,766 mi.",Quartz White,Black,Front-wheel Drive,Gasoline,Automatic,"Smartstream 1.6L I-4 port/direct injection, DOHC, variable valve",5NPEJ4J27LH022899,2023-04-30 11:57:57.528957,Cars.com
2020 Mercedes-Benz GLC 300 Base 4MATIC,"$31,495","67,764 mi.",Black,Black,All-wheel Drive,Gasoline,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,W1N0G8EB7LF774132,2023-04-30 11:58:00.977551,Cars.com
2019 Volvo XC90 T6 Inscription,"$40,595","42,499 mi.",Onyx Black Metallic,Blond,All-wheel Drive,Gasoline,8-Speed Automatic,2.0L I4 16V GDI DOHC,YV4A22PL8K1418536,2023-04-30 11:58:03.787307,Cars.com
2022 Subaru Ascent Premium 8-Passenger,"$34,499","28,356 mi.",Brilliant Bronze Metallic,Ivory,All-wheel Drive,Gasoline,Automatic CVT,2.4L H4 16V GDI DOHC Turbo,4S4WMACD8N3409920,2023-04-30 11:58:06.450744,Cars.com
2022 Chevrolet Blazer RS,"$45,990","8,395 mi.",Black,Jet Black,All-wheel Drive,Gasoline,9-Speed Automatic,3.6L V6 24V GDI DOHC,3GNKBKRS4NS186961,2023-04-30 11:58:09.681092,Cars.com
2023 Chevrolet Trailblazer RS,"$33,105",1 mi.,Sterling Gray Metallic,Jet Black,All-wheel Drive,Gasoline,9-Speed Automatic,1.3L I3 12V GDI DOHC Turbo,KL79MUSL5PB116378,2023-04-30 11:58:11.740310,Cars.com
2023 Honda Civic Sport,"$26,945",–,Crystal Black Pearl,Black,Front-wheel Drive,Gasoline,6-Speed Manual,2.0L I4 16V GDI DOHC,19XFL2G87PE014472,2023-04-30 11:58:16.045192,Cars.com
2023 Toyota Highlander XLE,"$46,343",–,Wind Chill Pearl,Black,AWD,Gasoline,Automatic,2.4L I4 16V PDI DOHC Turbo,5TDKDRBH1PS17D557,2023-04-30 11:58:18.692411,Cars.com
2018 Volkswagen Atlas 3.6L Launch Edition,"$21,500","98,150 mi.",Platinum Gray Metallic,Titan Black,All-wheel Drive,Gasoline,8-Speed Automatic,3.6L V6 24V GDI DOHC,1V2HR2CA8JC510667,2023-04-30 11:58:21.853324,Cars.com
2013 Dodge Dart Limited/GT,"$11,140","81,655 mi.",Redline 2 Coat Pearl,Black,Front-wheel Drive,E85 Flex Fuel,6-Speed Automatic,2.0L I4 16V MPFI DOHC Flexible Fuel,1C3CDFCA4DD299200,2023-04-30 11:58:25.123137,Cars.com
2017 BMW X5 xDrive35i,"$29,995","69,508 mi.",Imperial Blue Metallic,Beige,All-wheel Drive,Gasoline,8-Speed Automatic,3.0L I6 24V GDI DOHC Turbo,5UXKR0C37H0V73508,2023-04-30 11:58:27.365458,Cars.com
2023 Chrysler Pacifica Hybrid Limited,"$51,535",14 mi.,Granite Crystal Clearcoat Metallic,Black,Front-wheel Drive,Hybrid,Automatic,3.6L V6 24V MPFI DOHC Hybrid,2C4RC1S7XPR527431,2023-04-30 11:58:29.473340,Cars.com
2023 GMC Yukon Denali,"$86,030",7 mi.,White Frost Tri-Coat,Jet Black,Four-wheel Drive,Diesel,Automatic,3.0L I6 24V DDI DOHC Turbo Diesel,1GKS2DKT9PR349444,2023-04-30 11:58:32.955345,Cars.com
2022 Ford F-150 XL,"$48,235","1,097 mi.",Agate Black Metallic,Black,Four-wheel Drive,Gasoline,–,2.7L V6 24V PDI DOHC Twin Turbo,1FTEW1EP2NFC11155,2023-04-30 11:58:39.656743,Cars.com
2023 Jeep Grand Cherokee L Laredo,"$43,777",14 mi.,Bright White Clearcoat,Black,Four-wheel Drive,Gasoline,8-Speed Automatic,3.6L V6 24V MPFI DOHC,1C4RJKAGXP8799700,2023-04-30 11:58:43.730151,Cars.com
2020 Lincoln Corsair Reserve,"$46,000","7,378 mi.",Mocha,Sandstone,All-wheel Drive,Gasoline,8-Speed Automatic,2.3L I4 16V GDI DOHC Turbo,5LMCJ2DH1LUL00187,2023-04-30 11:58:47.560848,Cars.com
2023 Lincoln Navigator L Reserve,"$106,395",5 mi.,Starlight,Black Onyx,Four-wheel Drive,Gasoline,Automatic,3.5L V6 24V PDI DOHC Twin Turbo,5LMJJ3LG9PEL07488,2023-04-30 11:58:51.305267,Cars.com
2017 Acura MDX 3.5L,"$25,487","97,296 mi.",White Diamond Pearl,Ebony,All-wheel Drive,Gasoline,Automatic,"3.5L V-6 gasoline direct injection, i-VTEC variable valve contro",5FRYD4H5XHB011517,2023-04-30 11:58:55.178981,Cars.com
2015 GMC Sierra 1500 SLE,"$20,994","101,004 mi.",Stone Blue Metallic,Jet Black,Four-wheel Drive,Gasoline,Automatic,"EcoTec3 4.3L V-6 gasoline direct injection, variable valve contr",1GTV2UEH9FZ448232,2023-04-30 11:58:58.048650,Cars.com
2017 RAM ProMaster City Tradesman,"$16,499","117,688 mi.",Bright White,Black,Front-wheel Drive,Gasoline,Automatic 9-Speed,"Tigershark MultiAir 2.4L I-4 DOHC, variable valve control, engin",ZFBERFBB5H6E03449,2023-04-30 11:59:01.136736,Cars.com
2014 Scion FR-S Monogram,"$18,995","74,491 mi.",Ultramarine,Black,Rear-wheel Drive,Gasoline,6-Speed Manual,2.0L H4 16V PDI DOHC,JF1ZNAA10E9702253,2023-04-30 11:59:04.115494,Cars.com
2023 MINI Convertible Cooper S,"$42,625",4 mi.,Midnight Black,Carbon Black,Front-wheel Drive,Gasoline,7-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,WMW43DL09P3R27984,2023-04-30 11:59:07.994151,Cars.com
2024 Subaru Crosstrek Premium,"$28,492",6 mi.,White Pearl,–,All-wheel Drive,Gasoline,Automatic Lineartronic CVT,2.0L 4 Cyl. 16V DOHC,JF2GUADC8R8210116,2023-04-30 11:59:10.573031,Cars.com
2020 Hyundai Sonata SE,"$20,950","43,477 mi.",Hampton Gray,Dark Gray,Front-wheel Drive,Gasoline,8-Speed Automatic,2.5L I4 16V PDI DOHC,5NPEG4JA5LH028528,2023-04-30 11:59:14.306970,Cars.com
2014 Dodge Durango Citadel,"$21,988","105,000 mi.",Brilliant Black Crystal Pearlcoat,Black,All-wheel Drive,Gasoline,Automatic,"3.6L V-6 DOHC, variable valve control, engine with 290HP",1C4RDJEG6EC592324,2023-04-30 11:59:18.044823,Cars.com
2022 Nissan Titan Platinum Reserve,"$61,231",13 mi.,White,Beige,Four-wheel Drive,Gasoline,Automatic,5.6L V8 32V GDI DOHC,1N6AA1ED9NN108028,2023-04-30 11:59:19.882337,Cars.com
2022 Ford Explorer Timberline,"$49,899",165 mi.,Agate Black Metallic,Deep Cypress,Four-wheel Drive,Gasoline,10-Speed Automatic,2.3L I4 16V GDI DOHC Turbo,1FMSK8JH0NGC42190,2023-04-30 11:59:23.322101,Cars.com
2023 Toyota Tundra Hybrid Capstone,"$79,348",–,Red,Black / White,4WD,Hybrid,Automatic,3.5L V6 24V PDI DOHC Twin Turbo Hybrid,5TFVC5DB2PX10B360,2023-04-30 11:59:26.034089,Cars.com
2023 Hyundai Venue SEL,"$23,380",10 mi.,Shimmering Silver,Gray,Front-wheel Drive,Gasoline,IVT,1.6L I4 16V MPFI DOHC,KMHRC8A31PU245488,2023-04-30 11:59:30.034519,Cars.com
2023 Toyota Highlander Hybrid Limited,"$52,173",5 mi.,Magnetic Gray Metallic,–,AWD,Hybrid,Automatic CVT,2.5L I4 16V PDI DOHC Hybrid,5TDXBRCH8PS586243,2023-04-30 11:59:32.856367,Cars.com
2023 Ford Escape ST-Line,"$29,353",1 mi.,Carbonized Gray Metallic,Ebony,Front-wheel Drive,Gasoline,–,1.5L I3 12V PDI DOHC Turbo,1FMCU0MN7PUA05010,2023-04-30 11:59:35.960960,Cars.com
2023 Ford F-150 XLT,"$56,259",–,Gray Metallic,Black / Slate Gray,Four-wheel Drive,Gasoline,Automatic,5.0L V8 32V PDI DOHC,1FTFW1E57PFB21098,2023-04-30 11:59:38.264214,Cars.com
2017 Lincoln MKZ Reserve,"$19,995","75,652 mi.",Magnetic Gray Metallic,Ebony,Front-wheel Drive,Gasoline,6-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,3LN6L5E95HR635065,2023-04-30 11:59:41.074919,Cars.com
2018 Acura MDX 3.5L w/Technology Package,"$27,500","102,653 mi.",Black Copper Pearl,Espresso,All-wheel Drive,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5J8YD4H53JL027757,2023-04-30 11:59:47.578192,Cars.com
2019 BMW 430 Gran Coupe i xDrive,"$28,500","49,752 mi.",Mineral Gray Metallic,Golden Brown,All-wheel Drive,Gasoline,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,WBA4J3C59KBL10319,2023-04-30 11:59:49.600206,Cars.com
2013 Dodge Dart SXT,"$10,500","87,523 mi.",Blue Streak Pearlcoat,Black,Front-wheel Drive,Gasoline,Automatic,"2L I-4 DOHC, variable valve control, engine with 160HP",1C3CDFBAXDD151022,2023-04-30 11:59:52.649137,Cars.com
2014 Lexus LS 460 Base,"$25,995","98,520 mi.",Obsidian Black,Black,All-wheel Drive,Gasoline,8-Speed Automatic,4.6L V8 32V PDI DOHC,JTHCL5EF8E5022206,2023-04-30 11:59:55.013739,Cars.com
2013 Hyundai Genesis Coupe 3.8 Track,"$22,995","27,266 mi.",Black Noir Pearl,Black,Rear-wheel Drive,Gasoline,8-Speed Automatic,3.8L V6 24V GDI DOHC,KMHHU6KJ0DU105812,2023-04-30 11:59:58.236892,Cars.com
2021 Buick Enclave Essence,"$32,590","45,738 mi.",Satin Steel Metallic,Dark Galvanized,All-wheel Drive,Gasoline,9-Speed Automatic,3.6L V6 24V GDI DOHC,5GAEVAKWXMJ150312,2023-04-30 12:00:01.119459,Cars.com
2023 Jeep Renegade Limited,"$37,035",17 mi.,Alpine White Clearcoat,Black,Four-wheel Drive,Gasoline,Automatic,"1.3L I-4 gasoline direct injection, Multiair variable valve cont",ZACNJDD17PPP20992,2023-04-30 12:00:04.541923,Cars.com
2020 Lincoln Corsair Reserve,"$38,981","22,426 mi.",Ceramic Pearl,Ebony,All-wheel Drive,Gasoline,8-Speed Automatic,2.3L I4 16V GDI DOHC Turbo,5LMCJ2DH5LUL05425,2023-04-30 12:00:07.526331,Cars.com
2015 Porsche 911 Carrera S,"$67,553","47,253 mi.",White,Black,Rear-wheel Drive,Gasoline,7-Speed Automatic with Auto-Shift,3.8L H6 24V GDI DOHC,WP0AB2A99FS125891,2023-04-30 12:00:09.978162,Cars.com
2023 Mercedes-Benz CLA 250 Base 4MATIC,"$45,969","1,588 mi.",Midnight Black,Macchiato Beige,All-wheel Drive,Gasoline,7-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,W1K5J4HB6PN339008,2023-04-30 12:00:13.182059,Cars.com
2023 Cadillac CT4-V Blackwing,"$75,439",5 mi.,Rift Metallic,Jet Black,Rear-wheel Drive,Gasoline,Automatic,Turbocharged V6 3.6L/217,1G6DL5RPXP0410503,2023-04-30 12:00:16.023903,Cars.com
2022 Kia Seltos EX,"$25,800","14,609 mi.",Gravity Gray,Black,All-wheel Drive,Gasoline,Automatic CVT,2.0L I4 16V MPFI DOHC,KNDERCAAXN7321353,2023-04-30 12:00:19.560174,Cars.com
2019 Chevrolet Volt Premier,"$28,714","31,230 mi.",Silver Ice Metallic,Black,Front-wheel Drive,Hybrid,1-Speed Automatic,1.5L I4 16V GDI DOHC Hybrid,1G1RB6S56KU116885,2023-04-30 12:00:22.431613,Cars.com
2023 Kia Sportage EX,"$33,887",963 mi.,Glacial White Pearl,Black,Front-wheel Drive,Gasoline,8-Speed Automatic,2.5L I4 16V PDI DOHC,5XYK33AFXPG025254,2023-04-30 12:00:25.351923,Cars.com
2023 Toyota Tundra Hybrid TRD Pro,"$73,587",5 mi.,Solar,Black,Four-wheel Drive,Hybrid,Automatic,3.5L V6 24V PDI DOHC Twin Turbo Hybrid,5TFPC5DB1PX028728,2023-04-30 12:00:28.255706,Cars.com
2020 Kia Sportage EX,"$26,197","25,526 mi.",Steel Gray,Black,All-wheel Drive,Gasoline,6-Speed Automatic,2.4L I4 16V GDI DOHC,KNDPNCAC9L7697058,2023-04-30 12:00:32.312861,Cars.com
2023 Toyota Tundra Hybrid Limited,"$60,429",–,Midnight Black Metallic,Black,RWD,Hybrid,Automatic,3.5L V6 24V PDI DOHC Twin Turbo Hybrid,5TFJC5AB0PX09A698,2023-04-30 12:00:34.504859,Cars.com
2022 Volkswagen Jetta GLI 2.0T Autobahn,"$31,985","12,782 mi.",Pure White,Titan Black,Front-wheel Drive,Gasoline,6-Speed Manual,2.0L I4 16V GDI DOHC Turbo,3VW1T7BU0NM029620,2023-04-30 12:00:37.276564,Cars.com
2020 Honda Accord Hybrid Base,"$26,604","32,516 mi.",Lunar Silver Metallic,Black,Front-wheel Drive,Hybrid,Automatic CVT,2.0L I4 16V MPFI DOHC Hybrid,1HGCV3F15LA009647,2023-04-30 12:00:41.752758,Cars.com
2023 Ford Bronco Black Diamond,"$63,470",–,Hot Pepper Red Metallic Tinted Clearcoat,Black Onyx,Four-wheel Drive,Gasoline,Automatic,2.7L V6 24V PDI DOHC Twin Turbo,1FMEE5DP0PLB11454,2023-04-30 12:00:45.590314,Cars.com
