Car Name,Car Price,Car Mileage,Exterior Color,Interior Color,Drivetrain,Fuel Type,Transmission,Engine,VIN,TimeStamp,Source
2022 Alfa Romeo Giulia Ti,"$45,665",1 mi.,Anodized Blue Metallic,Black,AWD,Gasoline,8-Speed Automatic,2.0L I4 16V GDI SOHC Turbo,ZARFANBN9N7662631,2023-04-30 11:34:33.587986,Cars.com
2023 Maserati Ghibli Modena Q4,"$103,995",–,Nero Noctis,Nero,All-wheel Drive,Gasoline,ZF 8-Speed Automatic,3.0L V6 24V GDI DOHC Twin Turbo,ZAM57YTM4PX420517,2023-04-30 11:34:35.503012,Cars.com
2020 Mercedes-Benz CLA 250 Base 4MATIC,"$35,000","41,697 mi.",Polar White,Macchiato Beige,All-wheel Drive,Gasoline,7-Speed Automatic with Auto-Shift,2.0L I4 16V GDI DOHC Turbo,WDD5J4HB2LN061489,2023-04-30 11:34:39.028884,Cars.com
2023 Dodge Durango SXT,"$38,585",7 mi.,White Knuckle Clearcoat,Black,All-wheel Drive,Gasoline,Automatic,3.6L V6 24V MPFI DOHC,1C4RDJAG8PC564839,2023-04-30 11:34:42.806606,Cars.com
2022 Ford F-150 Lariat,"$63,998","6,666 mi.",Blue,Black,Four-wheel Drive,–,Automatic,5.0L V8 32V PDI DOHC,1FTFW1E57NKD77360,2023-04-30 11:34:46.347472,Cars.com
2022 Volkswagen Atlas 2.0T SE w/Technology,"$36,777","46,334 mi.",Racing Green,Titan Black,Front-wheel Drive,Gasoline,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,1V2WP2CA0NC511296,2023-04-30 11:34:49.754784,Cars.com
2022 Volkswagen Atlas 2.0T SEL,"$39,927","15,241 mi.",Platinum Gray Metallic,Titan Black,All-wheel Drive,Gasoline,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,1V2BP2CA1NC520488,2023-04-30 11:34:52.251516,Cars.com
2018 Buick Regal TourX Essence,"$27,895","26,533 mi.",Ebony Twilight Metallic,Ebony,All-wheel Drive,Gasoline,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,W04GV8SX6J1092522,2023-04-30 11:34:55.956754,Cars.com
2023 Toyota RAV4 LE,"$29,619",–,Ruby Flare Pearl,Black,FWD,Gasoline,Automatic,2.5L I4 16V PDI DOHC,2T3H1RFV9PW16H362,2023-04-30 11:34:58.917614,Cars.com
2022 Nissan Frontier SV,"$40,215",57 mi.,Glacier White,Charcoal,Four-wheel Drive,Gasoline,9-Speed Automatic,3.8L V6 24V GDI DOHC,1N6ED1EKXNN682080,2023-04-30 11:35:01.517412,Cars.com
